title,code
medical laboratory technologist (medical lab tech),29-2011
medical technologist (mt),29-2011
"medical technologist, clinical laboratory scientist",29-2011
microbiology technologist,29-2011
clinical cytogeneticist scientist (ccs),29-2011
clinical laboratory specialist in cytogenetics (clsp(cg)),29-2011
cytogenetics laboratory manager (cytogenetics lab manager),29-2011
head of cytogenetics,29-2011
lead cytogenetic technologist,29-2011
lead technologist in cytogenetics,29-2011
senior cytogenetic technologist,29-2011
senior cytogenetics laboratory director,29-2011
"technical specialist, cytogenetics",29-2011
cytology laboratory manager (cytology lab manager),29-2011
cytology manager,29-2011
cytology supervisor,29-2011
cytotechnologist supervisor,29-2011
cytotechnologist/cytology supervisor,29-2011
cytotechnologist/histotechnologist,29-2011
senior cytotechnologist,29-2011
staff cytotechnologist,29-2011
"technical specialist, cytology",29-2011
charge histotechnologist,29-2011
clinical laboratory manager,29-2011
"facility manager, histology",29-2011
histology specialist,29-2011
histology technologist,29-2011
histotechnologist supervisor,29-2011
pathology supervisor,29-2011
certified clinical laboratory technician,29-2012
clinical laboratory technician (clinical lab technician),29-2012
medical laboratory technician (mlt),29-2012
medical laboratory technicians (medical lab technician),29-2012
"dental hygienist, mobile coordinator",29-2021
hygienist,29-2021
implant coordinator,29-2021
pediatric dental hygienist,29-2021
registered dental hygienist (rdh),29-2021
"registered dental hygienist, part time clinical faculty",29-2021
cardiac catheterization technician,29-2031
cardiology technician,29-2031
cardiopulmonary technician,29-2031
cardiovascular technician,29-2031
cardiovascular technologist (cvt),29-2031
electrocardiogram technician (ekg technician),29-2031
registered cardiovascular invasive specialist (rcis),29-2031
cardiac sonographer,29-2032
medical sonographer,29-2032
registered diagnostic medical sonographer (rdms),29-2032
staff sonographer,29-2032
ultrasound technician (ultrasound tech),29-2032
ultrasound technologist (ultrasound tech),29-2032
certified nuclear medicine technologist (cnmt),29-2033
lead nuclear medicine technologist (lead nuc med tech),29-2033
nuclear medicine pet-ct technologist (nuclear medicine positron emission tomography - computed tomography technologist),29-2033
nuclear medicine technologist (nuclear med tech),29-2033
radiation safety officer,29-2033
senior nuclear medicine technologist,29-2033
staff nuclear medicine technologist,29-2033
supervisor nuclear medicine,29-2033
computed tomography technologist (ct technologist),29-2034
mammographer,29-2034
mammography technologist,29-2034
radiologic technologist (rt),29-2034
radiological technologist,29-2034
radiology technologist,29-2034
x-ray technologist (x-ray tech),29-2034
chief magnetic resonance imaging technologist (chief mri technologist),29-2035
magnetic resonance imaging coordinator (mri coordinator),29-2035
magnetic resonance imaging director,29-2035
magnetic resonance imaging quality assurance coordinator (mri quality assurance coordinator),29-2035
medical imaging director,29-2035
mri specialist (magnetic resonance imaging specialist),29-2035
mri supervisor (magnetic resonance imaging supervisor),29-2035
mri technologist (magnetic resonance imaging technologist),29-2035
emergency medical technician (emt),29-2041
"emergency medical technician, basic (emt, b)",29-2041
emergency medical technician/driver (emt/driver),29-2041
"emt intermediate (emergency medical technician, intermediate)",29-2041
"emt, paramedic (emergency medical technician, paramedic)",29-2041
emt/dispatcher (emergency medical technician/dispatcher),29-2041
multi care technician (multi care tech),29-2041
certified dietary manager (cdm),29-2051
cook chill technician (cct),29-2051
diet assistant,29-2051
diet tech (diet technician),29-2051
diet tech (dietetic technician),29-2051
diet technician registered (dtr),29-2051
accredited pharmacy technician,29-2052
billing and quality technician,29-2052
certified pharmacy technician (cpht),29-2052
"lead pharmacy tech, certified pharmacy technician (lead pharmacy tech, cpht)",29-2052
lead pharmacy technician (lead pharmacy tech),29-2052
pharmacy technician (pharmacy tech),29-2052
senior pharmacy technician,29-2052
"technician, inventory specialist",29-2052
health care technician,29-2053
licensed psychiatric technician (lpt),29-2053
mental health assistant (mha),29-2053
mental health associate,29-2053
psychiatric technician (pt),29-2053
residential aide (ra),29-2053
certified respiratory therapy technician (crtt),29-2054
pulmonary function technician (pf technician),29-2054
registered pulmonary function technologist (rpft),29-2054
registered respiratory therapist (staff),29-2054
respiratory care assistant (rca),29-2054
respiratory director,29-2054
respiratory supervisor,29-2054
respiratory technician,29-2054
respiratory therapy assistant,29-2054
respiratory therapy technician (rtt),29-2054
certified surgical tech/first assistant,29-2055
certified surgical technologist (cst),29-2055
operating room surgical technician (or st),29-2055
operating room technician (or tech),29-2055
operating room technologist (or tech),29-2055
surgical scrub technician,29-2055
surgical scrub technologist (surgical scrub tech),29-2055
surgical technologist (surgical tech),29-2055
certified veterinary technician (cvt),29-2056
emergency veterinary technician,29-2056
internal medicine veterinary technician,29-2056
licensed veterinary technician (lvt),29-2056
registered veterinary technician (rvt),29-2056
veterinary assistant,29-2056
veterinary laboratory technician (veterinary lab tech),29-2056
veterinary nurse,29-2056
veterinary technician (vet tech),29-2056
certified ophthalmic medical technician,29-2057
certified ophthalmic technician,29-2057
certified ophthalmic technician with surgical assisting,29-2057
certified ophthalmic technician-surgical assistant (cot-sa),29-2057
ophthalmic assistant,29-2057
ophthalmic medical technician,29-2057
clinic licensed practical nurse (clinic lpn),29-2061
clinic nurse,29-2061
licensed practical nurse (lpn),29-2061
"licensed practical nurse, clinic nurse (lpn, clinic nurse)",29-2061
licensed vocational nurse (lvn),29-2061
office nurse,29-2061
pediatric licensed practical nurse (pediatric lpn),29-2061
triage licensed practical nurse (triage lpn),29-2061
coder,29-2071
health information clerk,29-2071
health information technician (health information tech),29-2071
medical records analyst,29-2071
medical records coordinator,29-2071
medical records director,29-2071
medical records technician (medical records tech),29-2071
registered health information technician (rhit),29-2071
dispensing optician,29-2081
licensed dispensing optician (ldo),29-2081
ophthalmic dispenser,29-2081
american board certified orthotist (abc orthotist),29-2091
certified orthotist (co),29-2091
certified prosthetist (cp),29-2091
certified prosthetist/orthotist (cpo),29-2091
licensed prosthetist/orthotist (lpo),29-2091
orthotist/prosthetist,29-2091
audioprosthologist,29-2092
board certified hearing instrument dispenser,29-2092
board certified hearing instrument specialist,29-2092
certified hearing instrument dispenser,29-2092
hearing aid consultant,29-2092
hearing aid specialist,29-2092
hearing care practitioner,29-2092
hearing specialist,29-2092
"senior hearing specialist, audio prosthologist",29-2092
certified neurodiagnostic technologist,29-2099
"clinical supervisor, epilepsy monitoring unit",29-2099
electroneurodiagnostic technologist coordinator,29-2099
lead neurodiagnostic technologist,29-2099
"manager, neurodiagnostic laboratory & epilepsy center (manager, neurodiagnostic lab & epilepsy center)",29-2099
neurodiagnostic technologist,29-2099
registered electroneurodiagnostic technologist,29-2099
registered polysomnographic technologist,29-2099
senior technologist,29-2099
certified diagnostic ophthalmic sonographer and registered ophthalmic ultrasound biometrist (cdos and roub),29-2099
certified ophthalmic medical technologist (comt),29-2099
certified ophthalmic surgical assistant,29-2099
ophthalmic medical technologist,29-2099
ophthalmic technologist (ophthalmic tech),29-2099
ophthalmology surgical technician,29-2099
"chief technician, x-ray (chief tech, x-ray)",29-2099
limited radiology technician,29-2099
radiologic technician (rt),29-2099
radiology technician (radiology tech),29-2099
registered radiographer,29-2099
x-ray technician (x-ray tech),29-2099
certified first assistant (cfa),29-2099
certified registered nurse first assistant (crnfa),29-2099
certified surgical assistant (csa),29-2099
certified surgical first assistant (csfa),29-2099
registered nurse first assistant (rnfa),29-2099
surgical scrub technician (surgical scrub tech),29-2099
